Date,price,open,high,low,Vol.,Change_per
Jun 10,14.713,15.050,15.075,14.700,13.26K,-1.74%
Jun 07,15.107,14.965,15.225,14.920,14.38K,0.86%
Jun 06,14.978,14.860,15.065,14.800,7.31K,0.78%
Jun 05,14.862,14.905,15.115,14.825,8.64K,0.11%
Jun 04,14.845,14.855,14.915,14.725,7.77K,0.18%
Jun 03,14.819,14.660,14.905,14.640,9.13K,1.49%
May 31,14.646,14.575,14.750,14.540,6.47K,0.53%
May 30,14.569,14.475,14.630,14.420,3.70K,0.56%
May 29,14.488,14.415,14.525,14.410,5.41K,0.60%
May 28,14.401,14.630,14.690,14.350,3.30K,-1.17%
May 27,14.572,14.553,14.607,14.537,-,0.10%
May 26,14.557,14.545,14.562,14.545,-,-0.54%
May 24,14.636,14.655,14.665,14.600,1.71K,-0.38%
May 23,14.692,14.505,14.710,14.480,2.62K,1.14%
May 22,14.527,14.500,14.555,14.455,1.78K,0.28%
May 21,14.487,14.515,14.525,14.430,1.33K,-0.25%
May 20,14.523,14.465,14.535,14.445,0.82K,0.66%
May 17,14.466,14.595,14.615,14.465,1.81K,-1.02%
May 16,14.615,14.860,14.895,14.595,1.87K,-1.84%
May 15,14.889,14.885,14.930,14.850,1.12K,-0.02%
May 14,14.892,14.870,14.935,14.825,2.22K,0.24%
May 13,14.857,14.860,14.890,14.700,2.02K,0.67%
May 10,14.870,14.835,14.930,14.820,1.87K,0.11%
May 09,14.853,14.940,14.940,14.790,3.52K,-0.61%
May 08,14.944,15.010,15.060,14.925,2.75K,-0.43%
May 07,15.009,15.000,15.020,14.895,2.68K,-0.01%
May 06,15.010,15.045,15.070,14.860,1.17K,0.43%
May 03,15.062,14.720,15.070,14.690,1.65K,2.47%
May 02,14.699,14.775,14.790,14.660,2.20K,-0.78%
May 01,14.815,15.065,15.065,14.710,0.92K,-1.69%
Apr 30,15.069,15.020,15.110,14.920,1.31K,0.33%
Apr 29,15.019,15.195,15.195,14.995,0.58K,0.05%
Apr 26,15.174,15.075,15.205,15.040,1.16K,0.84%
Apr 25,15.047,15.045,15.130,14.985,2.45K,-0.25%
Apr 24,15.084,14.945,15.125,14.910,1.58K,0.86%
Apr 23,14.955,15.150,15.160,14.880,3.58K,-1.27%
Apr 22,15.147,15.155,15.180,15.130,0.54K,1.10%
Apr 19,14.965,14.965,14.965,14.965,-,-1.07%
Apr 18,15.127,15.090,15.145,15.080,0.81K,0.13%
Apr 17,15.107,15.160,15.205,15.055,1.65K,0.12%
Apr 16,15.089,15.145,15.145,15.010,0.75K,-0.43%
Apr 15,15.154,15.095,15.170,14.980,0.78K,1.58%
Apr 12,15.145,15.100,15.245,15.100,0.87K,0.63%
Apr 11,15.050,15.385,15.385,15.030,2.51K,-2.46%
Apr 10,15.430,15.375,15.445,15.315,2.18K,0.21%
Apr 09,15.398,15.400,15.485,15.375,2.26K,-0.03%
Apr 08,15.403,15.285,15.455,15.275,1.65K,2.09%
Apr 05,15.270,15.300,15.360,15.230,1.99K,0.03%
Apr 04,15.266,15.295,15.320,15.065,1.65K,-0.14%
Apr 03,15.287,15.310,15.325,15.190,1.02K,0.27%
Apr 02,15.246,15.235,15.260,15.110,1.57K,-0.27%
Apr 01,15.287,15.295,15.365,15.240,0.84K,1.15%
Mar 29,15.295,15.180,15.345,15.160,0.76K,0.92%
Mar 28,15.155,15.420,15.420,15.135,0.63K,-2.12%
Mar 27,15.483,15.630,15.650,15.455,0.36K,-0.84%
Mar 26,15.614,15.725,15.725,15.590,0.67K,-0.88%
Mar 25,15.752,15.615,15.765,15.580,0.74K,2.23%
Mar 22,15.591,15.620,15.725,15.575,0.48K,-0.21%
Mar 21,15.624,15.690,15.835,15.610,0.47K,0.77%
Mar 20,15.505,15.540,15.690,15.475,0.75K,-0.35%
Mar 19,15.559,15.565,15.620,15.540,0.09K,0.32%
Mar 18,15.510,15.450,15.595,15.450,0.11K,1.59%
Mar 15,15.512,15.400,15.570,15.400,0.40K,1.01%
Mar 14,15.357,15.575,15.575,15.345,1.03K,-1.83%
Mar 13,15.644,15.660,15.730,15.630,0.83K,0.28%
Mar 12,15.601,15.510,15.670,15.505,1.19K,0.90%
Mar 11,15.462,15.530,15.530,15.455,0.76K,0.81%
Mar 08,15.536,15.220,15.560,15.215,0.75K,2.04%
Mar 07,15.226,15.235,15.315,15.180,1.44K,-0.30%
Mar 06,15.272,15.325,15.355,15.250,0.32K,-0.13%
Mar 05,15.292,15.275,15.345,15.265,0.66K,-0.01%
Mar 04,15.293,15.475,15.475,15.280,0.45K,0.88%
Mar 01,15.444,15.750,15.780,15.365,0.57K,-2.41%
Feb 28,15.826,15.960,16.040,15.815,0.41K,-0.83%
Feb 27,15.959,16.090,16.105,15.955,0.66K,-0.97%
Feb 26,16.116,16.125,16.175,16.030,0.42K,-0.01%
Feb 25,16.118,16.225,16.225,16.100,0.54K,1.48%
Feb 22,16.197,16.080,16.215,16.075,0.34K,0.66%
Feb 21,16.091,16.315,16.315,16.070,0.34K,-2.27%
Feb 20,16.464,16.225,16.470,16.225,0.75K,1.29%
Feb 19,16.255,16.055,16.255,16.030,0.90K,2.96%
Feb 18,15.787,15.752,15.828,15.738,-,0.25%
Feb 17,15.748,15.752,15.760,15.742,-,-1.74%
Feb 15,16.027,15.955,16.045,15.845,0.22K,1.38%
Feb 14,15.809,15.860,15.895,15.730,0.36K,-0.78%
Feb 13,15.933,15.980,16.050,15.875,0.77K,-0.26%
Feb 12,15.975,16.055,16.095,15.945,1.46K,-0.03%
Feb 11,15.979,16.080,16.080,15.945,0.29K,1.02%
Feb 08,16.098,16.060,16.130,16.025,0.54K,0.62%
Feb 07,15.999,15.950,16.010,15.930,0.63K,0.09%
Feb 06,15.984,16.035,16.110,15.935,0.16K,-0.84%
Feb 05,16.119,16.120,16.190,16.120,0.27K,-0.30%
Feb 04,16.168,15.985,16.165,15.985,0.60K,1.61%
Feb 01,16.210,16.340,16.340,16.190,0.37K,-0.84%
Jan 31,16.348,16.400,16.470,16.320,0.33K,0.89%
Jan 30,16.204,16.135,16.235,16.135,1.38K,0.54%
Jan 29,16.117,16.020,16.130,16.020,0.22K,0.50%
Jan 28,16.037,15.925,16.035,15.925,0.09K,1.94%
Jan 25,15.969,15.630,15.965,15.630,0.35K,2.58%
Jan 24,15.567,15.635,15.635,15.560,0.18K,-0.51%
Jan 23,15.647,15.690,15.690,15.570,0.07K,0.35%
Jan 22,15.592,15.490,15.620,15.490,0.14K,2.02%
Jan 21,15.283,15.363,15.383,15.207,-,-0.52%
Jan 20,15.363,15.360,15.395,15.357,-,-1.96%
Jan 18,15.670,15.665,15.720,15.660,0.12K,-0.88%
Jan 17,15.809,15.890,15.890,15.785,0.07K,-0.64%
Jan 16,15.911,15.820,15.915,15.820,0.12K,0.12%
Jan 15,15.892,15.890,15.975,15.865,0.46K,-0.44%
Jan 14,15.962,15.900,15.970,15.900,0.23K,2.08%
Jan 11,15.931,15.955,16.035,15.930,0.57K,0.08%
Jan 10,15.918,15.965,15.975,15.905,0.65K,-0.57%
Jan 09,16.009,16.015,16.020,15.990,0.42K,0.13%
Jan 08,15.988,15.925,16.000,15.915,0.49K,-0.21%
Jan 07,16.021,16.115,16.130,16.085,0.14K,1.69%
Jan 04,16.052,16.140,16.140,16.000,0.53K,-0.06%
Jan 03,16.061,15.890,16.060,15.890,0.17K,0.97%
Jan 02,15.907,15.715,15.925,15.710,0.62K,2.47%
Jan 01,15.523,15.560,15.560,15.515,-,-1.73%
Dec 31,15.797,15.710,15.825,15.700,0.19K,2.33%
Dec 28,15.693,15.630,15.690,15.630,0.22K,0.80%
Dec 27,15.569,15.455,15.545,15.395,0.19K,1.20%
Dec 26,15.385,15.435,15.490,15.405,0.09K,3.87%
Dec 25,14.812,14.835,14.875,14.812,-,-1.75%
Dec 24,15.076,15.035,15.035,15.035,0.03K,2.40%
Dec 21,14.962,14.955,14.955,14.955,0.04K,-1.10%
Dec 20,15.129,15.045,15.045,15.045,0.06K,0.34%
Dec 19,15.077,15.000,15.130,14.915,0.16K,0.79%
Dec 18,14.959,14.950,15.000,14.950,0.13K,-0.37%
Dec 17,15.015,14.920,15.010,14.915,0.05K,2.58%
Dec 14,14.891,14.940,14.945,14.935,0.17K,-1.46%
Dec 13,15.112,15.055,15.120,15.050,0.50K,0.01%
Dec 12,15.111,14.985,15.125,14.985,1.35K,1.48%
Dec 11,14.890,15.025,15.070,14.875,0.63K,0.13%
Dec 10,14.870,14.880,14.940,14.845,0.46K,1.18%
Dec 07,14.960,14.940,14.965,14.905,0.71K,1.24%
Dec 06,14.777,14.805,14.805,14.695,0.16K,0.71%
Dec 05,14.673,14.670,14.700,14.580,0.58K,-1.60%
Dec 04,14.911,14.880,14.880,14.870,0.15K,0.93%
Dec 03,14.773,14.730,14.880,14.730,0.23K,3.24%
Nov 30,14.488,14.600,14.600,14.390,0.34K,-1.25%
Nov 29,14.672,14.665,14.735,14.635,0.18K,-0.37%
Nov 28,14.726,14.555,14.555,14.555,0.24K,1.61%
Nov 27,14.493,14.610,14.620,14.485,0.03K,-0.88%
Nov 26,14.622,14.640,14.650,14.620,0.23K,1.54%
Nov 23,14.644,14.660,14.660,14.660,0.21K,1.20%
Nov 22,14.470,14.475,14.520,14.435,-,-2.89%
Nov 21,14.901,14.800,14.900,14.800,0.03K,1.64%
Nov 20,14.660,14.795,14.795,14.795,0.06K,-0.95%
Nov 19,14.801,14.755,14.755,14.755,0.05K,2.86%
Nov 16,14.783,14.670,14.780,14.670,0.03K,0.82%
Nov 15,14.663,14.640,14.715,14.640,0.15K,1.26%
Nov 14,14.480,14.395,14.395,14.360,0.05K,0.72%
Nov 13,14.377,14.410,14.420,14.410,0.01K,-0.23%
Nov 12,14.410,14.485,14.485,14.485,0.13K,1.77%
Nov 09,14.535,14.670,14.675,14.495,0.02K,-1.89%
Nov 08,14.815,14.915,14.920,14.910,0.09K,-0.96%
Nov 07,14.958,15.050,15.050,15.050,0.06K,1.69%
Nov 06,14.710,14.850,14.895,14.705,0.63K,-1.00%
Nov 05,14.858,14.960,14.960,14.835,0.63K,0.63%
Nov 02,14.964,14.870,15.095,14.870,0.94K,-0.11%
Nov 01,14.981,14.475,14.990,14.475,0.59K,2.25%
Oct 31,14.651,14.860,14.860,14.645,0.01K,-1.20%
Oct 30,14.829,14.795,14.795,14.795,0.02K,1.26%
Oct 29,14.644,14.895,14.970,14.620,0.33K,-0.45%
Oct 26,15.067,15.050,15.050,15.050,0.01K,1.59%
Oct 25,14.831,14.955,14.970,14.825,0.42K,-0.30%
Oct 24,14.876,14.970,14.970,14.885,0.30K,-0.80%
Oct 23,14.996,14.870,15.030,14.870,0.40K,1.44%
Oct 22,14.783,14.885,14.885,14.775,0.09K,0.80%
Oct 19,14.845,14.805,14.930,14.805,0.35K,0.30%
Oct 18,14.800,14.805,14.845,14.720,0.50K,-0.42%
Oct 17,14.862,14.890,14.935,14.835,0.23K,-1.33%
Oct 16,15.062,15.080,15.080,15.040,0.00K,0.90%
Oct 15,14.928,14.860,14.985,14.845,0.39K,1.83%
