Date,price,open,high,low,Vol,Change_perc
Apr 19,1277.90,1277.90,1277.90,1277.90,-,-1.25%
Apr 18,1294.10,1293.70,1296.90,1291.00,1.15K,-0.05%
Apr 17,1294.70,1297.40,1299.60,1293.50,2.23K,-0.04%
Apr 16,1295.20,1309.50,1309.50,1293.90,3.13K,-1.08%
Apr 15,1309.40,1312.30,1312.30,1303.60,2.82K,-0.30%
Apr 12,1313.40,1314.20,1316.90,1312.10,2.37K,0.16%
Apr 11,1311.30,1329.20,1329.20,1311.00,1.72K,-1.55%
Apr 10,1331.90,1326.50,1332.20,1322.80,2.08K,0.42%
Apr 09,1326.30,1320.00,1328.30,1320.00,2.72K,0.48%
Apr 08,1319.90,1313.70,1325.40,1313.70,1.26K,0.47%
Apr 05,1313.70,1315.00,1315.00,1306.60,1.64K,0.11%
Apr 04,1312.20,1313.10,1316.40,1302.80,2.29K,-0.08%
Apr 03,1313.30,1314.00,1316.60,1310.60,1.44K,-0.01%
Apr 02,1313.40,1310.70,1314.70,1308.00,1.41K,0.08%
Apr 01,1312.40,1314.40,1319.30,1309.50,0.77K,-0.31%
Mar 29,1316.50,1314.00,1322.30,1310.00,0.83K,0.24%
Mar 28,1313.30,1332.50,1334.70,1311.40,2.56K,-1.60%
Mar 27,1334.70,1341.10,1342.80,1331.80,1.71K,-0.34%
Mar 26,1339.20,1345.20,1345.60,1336.60,1.83K,-0.56%
Mar 25,1346.70,1335.30,1348.40,1335.30,2.50K,0.76%
Mar 22,1336.50,1333.00,1338.80,1331.70,3.94K,0.37%
Mar 21,1331.60,1338.00,1344.20,1327.80,1.30K,0.44%
Mar 20,1325.80,1330.90,1341.10,1323.00,2.96K,-0.38%
Mar 19,1330.90,1328.00,1334.70,1328.00,1.31K,0.38%
Mar 18,1325.80,1323.10,1330.40,1323.00,1.18K,-0.10%
Mar 15,1327.10,1320.30,1330.10,1320.00,0.88K,0.58%
Mar 14,1319.40,1332.10,1332.10,1317.20,1.46K,-1.08%
Mar 13,1333.80,1327.20,1336.00,1327.20,2.00K,0.86%
Mar 12,1322.40,1319.10,1326.30,1319.00,1.33K,0.51%
Mar 11,1315.70,1323.50,1323.50,1315.40,1.36K,-0.65%
Mar 08,1324.30,1312.30,1325.70,1312.30,2.40K,1.04%
Mar 07,1310.70,1312.40,1312.90,1306.70,2.36K,-0.11%
Mar 06,1312.20,1314.00,1316.10,1309.60,1.10K,0.24%
Mar 05,1309.10,1311.80,1314.10,1306.90,1.24K,-0.21%
Mar 04,1311.90,1320.60,1322.30,1308.40,1.76K,-0.90%
Mar 01,1323.80,1339.10,1340.60,1316.30,2.18K,-1.28%
Feb 28,1341.00,1347.60,1353.40,1338.90,0.61K,-0.37%
Feb 27,1346.00,1356.00,1356.00,1344.30,0.88K,-0.55%
Feb 26,1353.40,1356.10,1357.00,1350.70,0.17K,-0.06%
Feb 25,1354.20,1357.80,1359.00,1352.40,0.55K,-0.25%
