price,open,high,low,Vol
1263,1273.5,1273.5,1262.9,0.24K
1269,1269.9,1270.8,1266.5,0.19K
1269.9,1271,1273.9,1268.4,1.29K
1274.8,1255.3,1272,1255.3,0.20K
1250.8,1260.4,1260.4,1250,0.96K
1261.5,1263.7,1263.7,1257.4,0.13K
1263.7,1272.2,1272.2,1263.9,0.26K
1272.3,1270.7,1281.3,1270,0.54K
1269,1276.5,1277.5,1267.7,0.48K
1267.6,1271.8,1271.8,1269.5,0.34K
1273.5,1269.9,1276.4,1269.9,0.05K
1261.3,1266.9,1266.9,1259.7,0.14K
1265.3,1268.5,1268.5,1265.5,0.04K
1266.6,1262.7,1267.3,1261.3,0.04K
1263.4,1260.4,1268.6,1260.4,0.30K
1267.3,1269.4,1269.4,1268.4,0.12K
1266.9,1258.9,1272.9,1258.9,0.19K
